PkiObjectType,ObjectDistinguishedName,Principal,Rights,ObjectTypeGuid,ResolvedRight,RightCategory,IsEnrollRight,AccessType,IsDangerous,IsDefaultPrincipal,IsCAHostAccount,ESC5Candidate,SidExtensionMatchesRequester,SidMismatchLikelyBenign
NTAuthCertificates,DN_4e4b93f7480a1e468c1cbe84,PRINCIPAL_46ee1a5d4c288f103379be2e,GenericAll,GUID_cba1f25f254998be43774ec2,GenericAll,Control,False,Allow,True,False,False,True,,
CertificationAuthoritiesContainer,DN_af35cffa5542e936464182c4,PRINCIPAL_46ee1a5d4c288f103379be2e,WriteDacl,GUID_d156f07431ce0f246474d084,WriteDacl,Control,False,Allow,True,False,False,True,,
EnrollmentServiceCA,DN_7406ecf8cda7bfb2e035d8b7,PRINCIPAL_46ee1a5d4c288f103379be2e,WriteOwner,GUID_a30e678db0003ed4ea6c5b86,WriteOwner,Control,False,Allow,True,False,False,True,,
EnrollmentServicesContainer,DN_2267c273d80feb80ef1ce5e1,PRINCIPAL_46ee1a5d4c288f103379be2e,GenericWrite,GUID_cc6370c74eb25a5de7eb99c5,GenericWrite,Control,False,Allow,True,False,False,True,,
CertificateTemplatesContainer,DN_02d84c1d68db8927eb7b5d76,HV_GROUP_295d860e1c80c85d63dbdc47,ReadProperty,GUID_a1e36dac7de821c8e2c16bde,ReadProperty,Read,False,Allow,False,True,False,False,,
KRAContainer,DN_6ce096d876ce0ef12c12f1e4,PRINCIPAL_51241d59e275c5158485e708,ExtendedRight,GUID_b2152e586a2b54d4e449209e,Enroll,Enroll,True,Allow,False,False,False,True,,
NTAuthCertificates,DN_ecd6e6c9118556047f8949a3,COMPUTER_a0dd22f6776470b5aea57c98,GenericAll,GUID_59375341c952e2eb7629a79c,GenericAll,Control,False,Allow,True,False,True,True,,
CertificationAuthoritiesContainer,DN_673a42f1f3a53ac1e275235a,PRINCIPAL_0c09044056e8a695105517a6,WriteDacl,GUID_1ade3fa6e3321cbf40431746,WriteDacl,Control,False,Deny,False,False,False,True,,
EnrollmentServiceCA,DN_564810ec5b2b552874f71c4c,HV_GROUP_0abd019b6a2643cf27947078,ReadProperty,GUID_f90eb89b3703b0ba9166bcf1,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServicesContainer,DN_b4c2ec18d00007a38d564fd1,HV_GROUP_02605782150bf0cb89283a7b,ReadProperty,GUID_fb43cb26e9384e19557afcfd,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificateTemplatesContainer,DN_d05dce16000d4ffa9737317d,HV_GROUP_7baff1c6dca1e627d97ebee3,ReadProperty,GUID_cba1f25f254998be43774ec2,ReadProperty,Read,False,Allow,False,True,False,False,,
KRAContainer,DN_e881f14a25c1ab1fbd0f18b3,HV_GROUP_788cc99a61ab8f17cd01cd1a,ReadProperty,GUID_d156f07431ce0f246474d084,ReadProperty,Read,False,Allow,False,True,False,False,,
NTAuthCertificates,DN_b79c0c0a12d0ff6d82d1ffe5,HV_GROUP_295d860e1c80c85d63dbdc47,ReadProperty,GUID_a30e678db0003ed4ea6c5b86,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificationAuthoritiesContainer,DN_afaa6fdcb69e4b98114f7fe2,HV_GROUP_0513599a3296c9f976aac761,ReadProperty,GUID_cc6370c74eb25a5de7eb99c5,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServiceCA,DN_74ad4a8e0c1dd2f806a07ed8,HV_GROUP_60003214f8ad0acdcc4c7675,ReadProperty,GUID_a1e36dac7de821c8e2c16bde,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServicesContainer,DN_a479a1274198a44ecac3361a,HV_GROUP_4942b110284b28ac648b2263,ReadProperty,GUID_b2152e586a2b54d4e449209e,ReadProperty,Read,False,Allow,False,True,False,False,,
