TemplateName,DisplayName,TemplateOID,TemplateSchemaVersion,TemplateMinorRevision,Published,PublishingCAs,SubjectSuppliedByRequester,SANSuppliedByRequester,SubjectOrSANSuppliedByRequester,NameFlagDecimal,NameFlagHex,EnrollmentFlagDecimal,EnrollmentFlagHex,ManagerApprovalRequired,AuthorizedSignaturesRequired,RequiredSignatureCount,AutoEnrollmentFlagSet,NoSecurityExtension,EKU_OIDs,AuthEKUsMatched,NoEKU,AuthCapableOrAnyPurpose,EnrollAllowPrincipals,EnrollDenyPrincipals,AutoEnrollAllowPrincipals,BroadEnrollPrincipals,DangerousControlAllowPrincipals,DangerousControlNonDefaultPrincipals,ESC4Candidate,ESC1Candidate_AnyEnroll,ESC1Candidate_BroadEnroll,DistinguishedName,SidExtensionMatchesRequester,SidMismatchLikelyBenign
TPL_24152c08622d161118179073,DISPLAY_094a6512a267c9029e586f24,1.3.6.1.4.1.55555.1.1,4,0,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",True,True,True,1,0x00000001,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""BROAD_AUTHENTICATED_USERS""]",[],"[""GROUP_35b2eb355859fc0f2b634cc1""]","[""BROAD_AUTHENTICATED_USERS""]",,,False,True,True,DN_3797b868ca66f770e95f8105,,
TPL_b5b309ec40a81cc323da6fb0,DISPLAY_62716824e69a10b5c4882620,1.3.6.1.4.1.55555.1.2,4,1,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_fedb362713e9dc6db09e6e3a""]",[],[],,"[""PRINCIPAL_ae5f81aaaa93500cdbb6aa32""]","[""PRINCIPAL_ae5f81aaaa93500cdbb6aa32""]",True,False,False,DN_b6dcfd814087bd6669a725e4,,
TPL_bee5014d68ad692e93552c53,DISPLAY_a29d8aecf54d606b05f864cd,1.3.6.1.4.1.55555.1.3,4,2,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_592dce57c68fef0e492c925e""]",[],[],,,,False,False,False,DN_ae9d094ddb737694b7512866,,
TPL_2c466e1ebf3778b820d7445d,DISPLAY_77431b59e407caec62a54f66,1.3.6.1.4.1.55555.1.4,4,3,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_fe20ffd44db513962beb8915""]",[],[],,,,False,False,False,DN_f200a97c5c7f6b8707bb0f95,,
TPL_6d6df5e7f8328265977bdc77,DISPLAY_277cda8b43bce1c995327221,1.3.6.1.4.1.55555.1.5,4,4,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_194d0717cdb43f649ccda920""]",[],[],,,,False,False,False,DN_5fb8c2e59fe1b82de05cb984,,
TPL_1bf778609179da48d007beaa,DISPLAY_fb355514e92396b9427b155a,1.3.6.1.4.1.55555.1.6,4,5,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,True,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_62c0f09b2abfbaec28c25ec3""]",[],[],,,,False,False,False,DN_f80faa0d14d3ec8d468dd7e3,,
TPL_39dcf75e0caf3fd72df96432,DISPLAY_810992056aae19d08703c671,1.3.6.1.4.1.55555.1.7,4,6,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_e60d709e92758b3fbda60232""]",[],"[""GROUP_e60d709e92758b3fbda60232""]",,,,False,False,False,DN_169d062598fd8be707ae10f4,,
TPL_ec033081e936497bb28e6190,DISPLAY_6f23adf525fcd6b0070a26ea,1.3.6.1.4.1.55555.1.8,4,7,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_ede8242832250cf3f36236bf""]",[],[],,,,False,False,False,DN_be665e82c31f541cddd37f64,,
TPL_d5d51e2b2fca0890e0d0fb1b,DISPLAY_7d73e499214db27183274cca,1.3.6.1.4.1.55555.1.9,4,8,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_7f2511d8b09971509cb6971d""]",[],[],,,,False,False,False,DN_dbe08dda13eeb6c638d70f60,,
TPL_5dd891f598d2c4bb2e62a6ba,DISPLAY_27cca532e1782b6e68f16d8f,1.3.6.1.4.1.55555.1.10,4,0,True,"[""CA_b98bb6a076c0a2a3695aeb65""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_6ad6da8b9a14be94aa59fda4""]",[],[],,,,False,False,False,DN_01bb9f18114343b744164434,,
