Token,ObjectType,TokenType,HighValueReason,KnownLabel
HV_PRINCIPAL_abd41dae639dad8416a810b5,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_15e313b0dae6cef69127e569,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_0542b966c0cdd95038f4b134,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_8e53b7a4527b5fd78e151721,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_44c6f77756fe133a3e70bd86,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_ca2a0001807f79f6a9d59c86,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_c3d2a3bd9df3d95cef547af6,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_bfbde307c99f08a1394ebefb,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_653cad3fdfc72cfc3a0bc5d0,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_51afe87b14f3047d08c9ce55,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_8a9c43f9c17afce23d9f9146,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_cd230f321f007e4c90c5309c,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_e604832e39ee4ca3814e0473,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_8dc5c95dcd942fa1ccd6be9a,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_d29ff3dc91219b6414b0e5d2,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_de0a17ae0b0ef35b5ecdb2c9,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_d1a65d9119ec606d3d657cbf,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_92bc169fb01bc326e2c2c260,user,HV_PRINCIPAL,Delegated control plane,
HV_PRINCIPAL_d61efcda19168f75591d7b8c,group,HV_GROUP,Tier 0 membership,
HV_PRINCIPAL_ece13a970706f1866f85893a,user,HV_PRINCIPAL,PKI administration,
HV_PRINCIPAL_e392abcb5900e7cba6c5bf80,user,HV_PRINCIPAL,Delegated control plane,
