PkiObjectType,ObjectDistinguishedName,Principal,Rights,ObjectTypeGuid,ResolvedRight,RightCategory,IsEnrollRight,AccessType,IsDangerous,IsDefaultPrincipal,IsCAHostAccount,ESC5Candidate,SidExtensionMatchesRequester,SidMismatchLikelyBenign
NTAuthCertificates,DN_05663a1340793b3f160c3a06,HV_GROUP_75e046f03cb1d1ef690e96b4,ReadProperty,GUID_ddc4fd56bf9d5a855cb973c9,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificationAuthoritiesContainer,DN_e9bae0d4f5b62994ac527246,HV_GROUP_825c6c9f9a5e6b242f78053d,ReadProperty,GUID_3db07553b31606a8cff86f45,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServiceCA,DN_7d76320987dc41dd13d75659,HV_GROUP_afab343e7354733f96a9b6eb,ReadProperty,GUID_423e61d962766362bb8b8da6,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServicesContainer,DN_35199f952721585f29a43f56,HV_GROUP_4286e40c54e09a86b6920a36,ReadProperty,GUID_7cfb69132e9d46dd0b5fb9c9,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificateTemplatesContainer,DN_9db0bc57cc33a0827debfe7d,HV_GROUP_97de93f06a41eceafa7eac2b,ReadProperty,GUID_fd69b9258d4b174cf07fd47d,ReadProperty,Read,False,Allow,False,True,False,False,,
KRAContainer,DN_e9311f87f69d92a18d583a20,PRINCIPAL_f3f65da27116ca235e6f0478,ExtendedRight,GUID_7385b8cf5fa6a5b48d022ca5,Enroll,Enroll,True,Allow,False,False,False,True,,
NTAuthCertificates,DN_88adf64cbb35f571b3e2ee93,COMPUTER_5287681851fe250e9c9bb2d6,GenericAll,GUID_201c09d1e59cc73e330b79cb,GenericAll,Control,False,Allow,True,False,True,True,,
CertificationAuthoritiesContainer,DN_75a969fccd354ff0c7df76b4,PRINCIPAL_289976420ea9f9fee2346cfb,WriteDacl,GUID_da05808142bfa8c32262fe22,WriteDacl,Control,False,Deny,False,False,False,True,,
EnrollmentServiceCA,DN_891f4868620dc0c2ff889b6b,HV_GROUP_75e046f03cb1d1ef690e96b4,ReadProperty,GUID_d8617d7bcc090b976e24ec4e,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServicesContainer,DN_8ad1b3541932daf1b2f98107,HV_GROUP_825c6c9f9a5e6b242f78053d,ReadProperty,GUID_1d3406efc6090f55b77881ef,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificateTemplatesContainer,DN_060d143d720a113a739623ba,HV_GROUP_afab343e7354733f96a9b6eb,ReadProperty,GUID_ddc4fd56bf9d5a855cb973c9,ReadProperty,Read,False,Allow,False,True,False,False,,
KRAContainer,DN_f45defdfc6983c4702b72f6d,HV_GROUP_4286e40c54e09a86b6920a36,ReadProperty,GUID_3db07553b31606a8cff86f45,ReadProperty,Read,False,Allow,False,True,False,False,,
NTAuthCertificates,DN_075e1c388bda832c23e08a97,HV_GROUP_97de93f06a41eceafa7eac2b,ReadProperty,GUID_423e61d962766362bb8b8da6,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificationAuthoritiesContainer,DN_60404a44b256a35022104e89,HV_GROUP_eb20a38040e0d7f9866c1d4c,ReadProperty,GUID_7cfb69132e9d46dd0b5fb9c9,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServiceCA,DN_9c87310c188f112a1247ca5a,HV_GROUP_0a2b1b2ba7c8966a34d89da5,ReadProperty,GUID_fd69b9258d4b174cf07fd47d,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServicesContainer,DN_7d6e297cd935c32c1cbcf09d,HV_GROUP_846162273a5ed77db598ec99,ReadProperty,GUID_7385b8cf5fa6a5b48d022ca5,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificateTemplatesContainer,DN_a9dd9d2caa131b6ce7b3b297,HV_GROUP_75e046f03cb1d1ef690e96b4,ReadProperty,GUID_201c09d1e59cc73e330b79cb,ReadProperty,Read,False,Allow,False,True,False,False,,
KRAContainer,DN_6e6075b1f2af32406e04024b,HV_GROUP_825c6c9f9a5e6b242f78053d,ReadProperty,GUID_da05808142bfa8c32262fe22,ReadProperty,Read,False,Allow,False,True,False,False,,
NTAuthCertificates,DN_05663a1340793b3f160c3a06,HV_GROUP_afab343e7354733f96a9b6eb,ReadProperty,GUID_d8617d7bcc090b976e24ec4e,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificationAuthoritiesContainer,DN_e9bae0d4f5b62994ac527246,HV_GROUP_4286e40c54e09a86b6920a36,ReadProperty,GUID_1d3406efc6090f55b77881ef,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServiceCA,DN_7d76320987dc41dd13d75659,HV_GROUP_97de93f06a41eceafa7eac2b,ReadProperty,GUID_ddc4fd56bf9d5a855cb973c9,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServicesContainer,DN_35199f952721585f29a43f56,HV_GROUP_eb20a38040e0d7f9866c1d4c,ReadProperty,GUID_3db07553b31606a8cff86f45,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificateTemplatesContainer,DN_9db0bc57cc33a0827debfe7d,HV_GROUP_0a2b1b2ba7c8966a34d89da5,ReadProperty,GUID_423e61d962766362bb8b8da6,ReadProperty,Read,False,Allow,False,True,False,False,,
