TemplateName,DisplayName,TemplateOID,TemplateSchemaVersion,TemplateMinorRevision,Published,PublishingCAs,SubjectSuppliedByRequester,SANSuppliedByRequester,SubjectOrSANSuppliedByRequester,NameFlagDecimal,NameFlagHex,EnrollmentFlagDecimal,EnrollmentFlagHex,ManagerApprovalRequired,AuthorizedSignaturesRequired,RequiredSignatureCount,AutoEnrollmentFlagSet,NoSecurityExtension,EKU_OIDs,AuthEKUsMatched,NoEKU,AuthCapableOrAnyPurpose,EnrollAllowPrincipals,EnrollDenyPrincipals,AutoEnrollAllowPrincipals,BroadEnrollPrincipals,DangerousControlAllowPrincipals,DangerousControlNonDefaultPrincipals,ESC4Candidate,ESC1Candidate_AnyEnroll,ESC1Candidate_BroadEnroll,DistinguishedName,SidExtensionMatchesRequester,SidMismatchLikelyBenign
TPL_7ef9adce8f6fec4e890e8c39,DISPLAY_f111c2b0ddad584018e0c3f9,1.3.6.1.4.1.55555.2.1,4,0,False,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_111d83bc869a1b596f699752""]",[],"[""GROUP_111d83bc869a1b596f699752""]",,,,False,False,False,DN_4cdccfbc40986f80427fb7a8,,
TPL_561ebf9d9f315159ec12a420,DISPLAY_c1ca459721c98f0c22b12a45,1.3.6.1.4.1.55555.2.2,4,1,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_4dd496ef7c64c38167117781""]",[],[],,,,False,False,False,DN_1d9ecf2c6ece4d18ba0f0a95,,
TPL_88bf242ddeeb29300215e95d,DISPLAY_e3f12ba1c88d534cdaacb9b9,1.3.6.1.4.1.55555.2.3,4,2,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_5f9fdc3c22cfe1b4bdd201e7""]",[],[],,,,False,False,False,DN_44153fe376a77707f654b9d6,,
TPL_622b426b2f13e61d06d46883,DISPLAY_03436beeecf319f985132e68,1.3.6.1.4.1.55555.2.4,4,3,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_f72f86c46fd5c05885a0c005""]",[],[],,,,False,False,False,DN_21085d652c9ad744b349cd42,,
TPL_19832f3c97f2c5e01aef8a44,DISPLAY_dc6631beb879d85ea8aa9956,1.3.6.1.4.1.55555.2.5,4,4,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_2603eefed0870c33deb55723""]",[],[],,,,False,False,False,DN_bcc7c79c355e20dd0830b1dd,,
TPL_9adcb3d70cb7d91a70d70971,DISPLAY_9dd81983257d7ef337733186,1.3.6.1.4.1.55555.2.6,4,5,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,True,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_1b751533791326677deede35""]",[],[],,,,False,False,False,DN_dd248f55fddc40ac30b72025,,
TPL_e9409c5f94cd2500ca6f0802,DISPLAY_7ba742d7cabce3afd9e95038,1.3.6.1.4.1.55555.2.7,4,6,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_0780ff35c5521800781258a0""]",[],"[""GROUP_0780ff35c5521800781258a0""]",,,,False,False,False,DN_10f8391b34a4fc190095663f,,
TPL_81a057f5002dce739384bfba,DISPLAY_06030d33a092da02f06c3098,1.3.6.1.4.1.55555.2.8,4,7,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_e277a6ae73cdb64f16511c93""]",[],[],,,,False,False,False,DN_90c87d80de009e02325c547a,,
TPL_41fdd5aea146276b2074b49f,DISPLAY_42d84683d27aba0c3a19b5e6,1.3.6.1.4.1.55555.2.9,4,8,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_d982b1ea73296c1c09026029""]",[],[],,,,False,False,False,DN_594ccb19326f2f506c849a6f,,
TPL_ae7daa49e85ad2521c4067c0,DISPLAY_e55015e3ca4d70f78e9d9f2e,1.3.6.1.4.1.55555.2.10,4,0,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_12942347241da7e518c8357f""]",[],[],,,,False,False,False,DN_855735fc44a89f8be4af236a,,
TPL_67065f321e9cd70aafe05bbb,DISPLAY_b35bd60ca0c805c18326c792,1.3.6.1.4.1.55555.2.11,4,1,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_c8472769c109a03d8a41d836""]",[],[],,,,False,False,False,DN_a84936689b90430cc5a92c36,,
TPL_5d8e1ed638bc36540d7ce8dc,DISPLAY_17d7e22776f6dedccdd9e066,1.3.6.1.4.1.55555.2.12,4,2,False,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_e952dd74002c50ade89af8a3""]",[],[],,,,False,False,False,DN_6ff48793592a47226c21b6f6,,
TPL_83f3b3b84ea956c5bd367897,DISPLAY_4a57f04fd3f33f58c797bf1e,1.3.6.1.4.1.55555.2.13,4,3,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_111d83bc869a1b596f699752""]",[],"[""GROUP_111d83bc869a1b596f699752""]",,,,False,False,False,DN_8f88373307928b6a1662b8f7,,
TPL_fc18daddc62bdffbf4f0f6a5,DISPLAY_15b448821965ce2e756e002f,1.3.6.1.4.1.55555.2.14,4,4,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_4dd496ef7c64c38167117781""]",[],[],,,,False,False,False,DN_dfac22cb968715f2aa59729c,,
TPL_93d76bbc96e411f3db0499a8,DISPLAY_5ff53a6417fa962d14c23969,1.3.6.1.4.1.55555.2.15,4,5,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_5f9fdc3c22cfe1b4bdd201e7""]",[],[],,,,False,False,False,DN_9228b92db847d734d446ace0,,
TPL_df32f93b14652106a98aff78,DISPLAY_bc676f2280917fd5b3224b31,1.3.6.1.4.1.55555.2.16,4,6,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_f72f86c46fd5c05885a0c005""]",[],[],,,,False,False,False,DN_041fa066d123ffc11738eeb7,,
TPL_b6369f244cef86325c3936f9,DISPLAY_6bb5f5b238656f5bba8eaaaf,1.3.6.1.4.1.55555.2.17,4,7,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_2603eefed0870c33deb55723""]",[],[],,,,False,False,False,DN_afe855fea220de7e03d087d2,,
TPL_e9f308ba3f72902cab97f22c,DISPLAY_0d309e6b9e599056d2317997,1.3.6.1.4.1.55555.2.18,4,8,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_1b751533791326677deede35""]",[],[],,,,False,False,False,DN_2cc3fa787e2d5099d6c8f07c,,
TPL_69da8e0bd3698d20b26e5d4e,DISPLAY_96e9c5541a9fcee724cfb8be,1.3.6.1.4.1.55555.2.19,4,0,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_0780ff35c5521800781258a0""]",[],"[""GROUP_0780ff35c5521800781258a0""]",,,,False,False,False,DN_56bea4ffc7a0b82429d826a5,,
TPL_16ec1c1e4a1d6b3cc4e21c7c,DISPLAY_1ae6130fcb92ca7eeca2df79,1.3.6.1.4.1.55555.2.20,4,1,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_e277a6ae73cdb64f16511c93""]",[],[],,,,False,False,False,DN_88ab05d08a144f00c79f9bb9,,
TPL_0428d31b389c16a337dcd989,DISPLAY_8336644ff30c6f834d5e4e22,1.3.6.1.4.1.55555.2.21,4,2,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_d982b1ea73296c1c09026029""]",[],[],,,,False,False,False,DN_554dc405ab307fea18321306,,
TPL_9222161b4ecd971c1cab6cab,DISPLAY_1d530273ab6a458091503cb5,1.3.6.1.4.1.55555.2.22,4,3,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_12942347241da7e518c8357f""]",[],[],,,,False,False,False,DN_9f33df2427ab2af4df03175f,,
TPL_7055a6edabba2572c4924a6f,DISPLAY_ab0f8e96f0b0c4bf670bf49d,1.3.6.1.4.1.55555.2.23,4,4,False,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_c8472769c109a03d8a41d836""]",[],[],,,,False,False,False,DN_9507b388d39ee2931deb38f6,,
TPL_3d9c9f8fe2d55a21623cf4ad,DISPLAY_67cee68382380efeaeb35b32,1.3.6.1.4.1.55555.2.24,4,5,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_e952dd74002c50ade89af8a3""]",[],[],,,,False,False,False,DN_b497716d38684ef17ad664eb,,
TPL_bf6cdd6f6b764825d8348a45,DISPLAY_25c221732e99f5f9a7575dea,1.3.6.1.4.1.55555.2.25,4,6,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_111d83bc869a1b596f699752""]",[],"[""GROUP_111d83bc869a1b596f699752""]",,,,False,False,False,DN_362918a27759e0aaf1606201,,
TPL_eba24c8d0254c0735624d726,DISPLAY_b45482821bfd6f430227e234,1.3.6.1.4.1.55555.2.26,4,7,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_4dd496ef7c64c38167117781""]",[],[],,,,False,False,False,DN_662a7b17d6a94a924d1d7cf4,,
TPL_2ec875857c8cda707f9ca0e8,DISPLAY_392f44cafa1c390ac43cc5c9,1.3.6.1.4.1.55555.2.27,4,8,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_5f9fdc3c22cfe1b4bdd201e7""]",[],[],,,,False,False,False,DN_2882404bf719eb394881d015,,
TPL_5593f8219b3484ee68eb7ad2,DISPLAY_3a304c0a15ed5e711b250701,1.3.6.1.4.1.55555.2.28,4,0,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_f72f86c46fd5c05885a0c005""]",[],[],,,,False,False,False,DN_751014b7cf47dacebc85a1e4,,
TPL_a86c8817a9ac0298be0da821,DISPLAY_d9c5817759a296d483cdb743,1.3.6.1.4.1.55555.2.29,4,1,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_2603eefed0870c33deb55723""]",[],[],,,,False,False,False,DN_48dc8cb6256b778ccf4d836d,,
TPL_84f57252759c4ae9357b656c,DISPLAY_b85bc26357db2d35f39bf68c,1.3.6.1.4.1.55555.2.30,4,2,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_1b751533791326677deede35""]",[],[],,,,False,False,False,DN_f9a2f74cdaad5d097c5c2651,,
TPL_d55a8e1f2826dddad1c421a7,DISPLAY_7ac50a237621de86736ffd1b,1.3.6.1.4.1.55555.2.31,4,3,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_0780ff35c5521800781258a0""]",[],"[""GROUP_0780ff35c5521800781258a0""]",,,,False,False,False,DN_a4fd3a6222ab95b4077577f0,,
TPL_0e13fe67868020e3e30ee1fa,DISPLAY_29e62d4a10ebc7d2001e7a5b,1.3.6.1.4.1.55555.2.32,4,4,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_e277a6ae73cdb64f16511c93""]",[],[],,,,False,False,False,DN_c3e523e570c0f9314aed8350,,
TPL_d177ecfa23b14da3eba93d7f,DISPLAY_accb51f1ee99d9cd51766925,1.3.6.1.4.1.55555.2.33,4,5,True,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_d982b1ea73296c1c09026029""]",[],[],,,,False,False,False,DN_64633f60772cc7abe126fbea,,
TPL_a721ab93c5e3a4099b204fb2,DISPLAY_a0c3a728aa79cbaea3be93cc,1.3.6.1.4.1.55555.2.34,4,6,False,"[""CA_16b1741d1aa3ea27dde7edb4""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_12942347241da7e518c8357f""]",[],[],,,,False,False,False,DN_6204acaed29023258d546968,,
