PkiObjectType,ObjectDistinguishedName,Principal,Rights,ObjectTypeGuid,ResolvedRight,RightCategory,IsEnrollRight,AccessType,IsDangerous,IsDefaultPrincipal,IsCAHostAccount,ESC5Candidate,SidExtensionMatchesRequester,SidMismatchLikelyBenign
NTAuthCertificates,DN_a579efcfa01c61c7c0e89c08,PRINCIPAL_1a8fce5017e7babdcbd920c3,GenericAll,GUID_a949d4e43f1ee9defaccf09f,GenericAll,Control,False,Allow,True,False,False,True,,
CertificationAuthoritiesContainer,DN_9b9ef3cbe4c9906b161f4e20,PRINCIPAL_1a8fce5017e7babdcbd920c3,WriteDacl,GUID_7d943150b440ecb7ac00650e,WriteDacl,Control,False,Allow,True,False,False,True,,
EnrollmentServiceCA,DN_28cc87009dc9f2e10c3048cc,HV_GROUP_58632a0bfe634ddfa86a1957,ReadProperty,GUID_268f0748f1610823754bc5a6,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServicesContainer,DN_f278c9f5b698e0db4fa6fc67,HV_GROUP_099fd82a5021402c000d7972,ReadProperty,GUID_db44ce60b8c07ca8fc40b66b,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificateTemplatesContainer,DN_3c378cb79dacf543112aad6b,HV_GROUP_5e140567e20ec382ad9c86d6,ReadProperty,GUID_ee314bd70ae89a4f437fb639,ReadProperty,Read,False,Allow,False,True,False,False,,
KRAContainer,DN_61095dfbc64797e930310aaa,PRINCIPAL_13d9362841268be2bb843911,ExtendedRight,GUID_3fba2f6491269a1637ee12ac,Enroll,Enroll,True,Allow,False,False,False,True,,
NTAuthCertificates,DN_8b684ccb84ae805e53a753e8,COMPUTER_6ad0e1a3c537d57359cf5441,GenericAll,GUID_c555f07880514034f482c2be,GenericAll,Control,False,Allow,True,False,True,True,,
CertificationAuthoritiesContainer,DN_f9c98a9fc0e40d0d0972739b,PRINCIPAL_facee2916b2f7d2bf0728e29,WriteDacl,GUID_3845d33a9bd49e6c83cf75c5,WriteDacl,Control,False,Deny,False,False,False,True,,
EnrollmentServiceCA,DN_38abfcbc7fd579d059c5631b,HV_GROUP_d7c6e474e0230adb1dd75a4a,ReadProperty,GUID_f8b1e6a0be0f4b095002d58f,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServicesContainer,DN_7ff358ee0677037e35f5b5cf,HV_GROUP_a06f2ff1f05b8a024d5174c6,ReadProperty,GUID_677573b70ec301233ac3c741,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificateTemplatesContainer,DN_1700846afa8993eeda8e9aad,HV_GROUP_58632a0bfe634ddfa86a1957,ReadProperty,GUID_a949d4e43f1ee9defaccf09f,ReadProperty,Read,False,Allow,False,True,False,False,,
KRAContainer,DN_fa029524c8d43116b799257c,HV_GROUP_099fd82a5021402c000d7972,ReadProperty,GUID_7d943150b440ecb7ac00650e,ReadProperty,Read,False,Allow,False,True,False,False,,
NTAuthCertificates,DN_342efff2399fd36d9b0e5283,HV_GROUP_5e140567e20ec382ad9c86d6,ReadProperty,GUID_268f0748f1610823754bc5a6,ReadProperty,Read,False,Allow,False,True,False,False,,
CertificationAuthoritiesContainer,DN_1b77f1eb809beb3721d86f69,HV_GROUP_6e872dc253351d5e34e66d10,ReadProperty,GUID_db44ce60b8c07ca8fc40b66b,ReadProperty,Read,False,Allow,False,True,False,False,,
EnrollmentServiceCA,DN_c68038e71acc09b51a6755dc,HV_GROUP_815ad5b735573b3d5c734aeb,ReadProperty,GUID_ee314bd70ae89a4f437fb639,ReadProperty,Read,False,Allow,False,True,False,False,,
