TemplateName,DisplayName,TemplateOID,TemplateSchemaVersion,TemplateMinorRevision,Published,PublishingCAs,SubjectSuppliedByRequester,SANSuppliedByRequester,SubjectOrSANSuppliedByRequester,NameFlagDecimal,NameFlagHex,EnrollmentFlagDecimal,EnrollmentFlagHex,ManagerApprovalRequired,AuthorizedSignaturesRequired,RequiredSignatureCount,AutoEnrollmentFlagSet,NoSecurityExtension,EKU_OIDs,AuthEKUsMatched,NoEKU,AuthCapableOrAnyPurpose,EnrollAllowPrincipals,EnrollDenyPrincipals,AutoEnrollAllowPrincipals,BroadEnrollPrincipals,DangerousControlAllowPrincipals,DangerousControlNonDefaultPrincipals,ESC4Candidate,ESC1Candidate_AnyEnroll,ESC1Candidate_BroadEnroll,DistinguishedName,SidExtensionMatchesRequester,SidMismatchLikelyBenign
TPL_8a51cba45cc56d7160b059b2,DISPLAY_0f327817c2c3dba929021c79,1.3.6.1.4.1.55555.3.1,4,0,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",True,True,True,1,0x00000001,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_584488d9c090c873aaaaf4ae""]",[],"[""GROUP_584488d9c090c873aaaaf4ae""]",,,,False,True,False,DN_49cf08e5c0a390aa646e4d99,,
TPL_4d61efba5e97e9618882ebee,DISPLAY_3b566008ad19bba408a52f7c,1.3.6.1.4.1.55555.3.2,4,1,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_247d264b1e4561f9dfba85f0""]",[],[],,"[""PRINCIPAL_db66978dcec117f0da16f56f""]","[""PRINCIPAL_db66978dcec117f0da16f56f""]",True,False,False,DN_509c9951c83b07d70a6d3ff4,,
TPL_a7aa4a1e5671690a4b6514ae,DISPLAY_f0607a32e9ba8df3de16fba4,1.3.6.1.4.1.55555.3.3,4,2,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_c45d600e93c571a0b1044e65""]",[],[],,,,False,False,False,DN_dca942255033d7440eeffae4,,
TPL_d00461f60975397038ab06a9,DISPLAY_e6c6eeadd3a1efc75d058851,1.3.6.1.4.1.55555.3.4,4,3,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_f4c5022f6d367c7d890206f2""]",[],[],,,,False,False,False,DN_eaaf08285e27c283539476a3,,
TPL_d1f85c1c5a73c651e70e420c,DISPLAY_0d1221467f83451a2ebec4fc,1.3.6.1.4.1.55555.3.5,4,4,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_e125388044c0bab78ec76b52""]",[],[],,,,False,False,False,DN_c71e3b1f30684b221b03e231,,
TPL_7d936fcdabccfdb5496297d7,DISPLAY_50ad441f370e8626553a2749,1.3.6.1.4.1.55555.3.6,4,5,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,True,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_d1d48a97e26f3c78fdde224f""]",[],[],,,,False,False,False,DN_eff589a6122a497992f06609,,
TPL_594966bf3ef6f5e2277c8faa,DISPLAY_72561380c81e158cd96d4657,1.3.6.1.4.1.55555.3.7,4,6,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,True,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_8fbd04734e9f5d5f55a519a8""]",[],"[""GROUP_8fbd04734e9f5d5f55a519a8""]",,,,False,False,False,DN_8875da97a7f3bf15221a1527,,
TPL_462bed957e53acea71738f1a,DISPLAY_5a97e9a2cb130e4ffe692541,1.3.6.1.4.1.55555.3.8,4,7,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_edd3ed7afa94d1a66b7f0e54""]",[],[],,,,False,False,False,DN_1595507e7c2508834917fdec,,
TPL_af9d20d8e9ec527b40075a9e,DISPLAY_ecfa3a761172acfd69a7345b,1.3.6.1.4.1.55555.3.9,4,8,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_bef65d741569dd436200e0d2""]",[],[],,,,False,False,False,DN_90326f938fc4c5e5290e337b,,
TPL_1e9ee7888a59a44b76aca762,DISPLAY_1b01fd040381023ec31310de,1.3.6.1.4.1.55555.3.10,4,0,True,"[""CA_2e1fd3acef6dc7f48d1e9451""]",False,False,False,0,0x00000000,0,0x00000000,False,False,0,False,False,1.3.6.1.5.5.7.3.2,1.3.6.1.5.5.7.3.2,False,True,"[""GROUP_959288aad9798690bcf5fc9b""]",[],[],,,,False,False,False,DN_7cac9e22b75330e9ffbe5a60,,
